index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/231304433	osmplace	891fad38153ffff	h3place	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/257267941	osmplace	891fad22eb3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/343420287	osmplace	891fad31b13ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/420600707	osmplace	891fad3a5c3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/676367838	osmplace	891fad3a48fffff	h3place	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/way/463898090	osmplace	891fad2058fffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/677624189	osmplace	891fad22dc3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
7	located_on_h3_cell	891fad3a6afffff	h3place	https://www.openstreetmap.org/way/242802495	osmplace	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/226600429	osmplace	891fad31417ffff	h3place	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/529707462	osmplace	891fad05b0bffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
10	hasOSMTag	891fad3121bffff	h3place	trunk	osmtag	False	2.0		Transport_NEG_aeroway around (Erfurt) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/235933031	osmplace	891fad31a93ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/313890831	osmplace	891fad3129bffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
13	located_on_h3_cell	https://www.openstreetmap.org/way/845496190	osmplace	891fad203b7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/258088426	osmplace	891fad20587ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
15	located_on_h3_cell	https://www.openstreetmap.org/way/561550863	osmplace	891fad35377ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/22376444	osmplace	891fad06b8fffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/way/258534676	osmplace	891fad04d97ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/420600708	osmplace	891fad3a5dbffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
19	located_on_h3_cell	891fad3128bffff	h3place	https://www.openstreetmap.org/way/313890835	osmplace	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/way/182531438	osmplace	891fad3a5d3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/way/242821219	osmplace	891fad05bcbffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
22	located_on_h3_cell	891fad06823ffff	h3place	https://www.openstreetmap.org/way/258527309	osmplace	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
23	located_on_h3_cell	https://www.openstreetmap.org/way/257267937	osmplace	891fad235b3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
24	located_on_h3_cell	https://www.openstreetmap.org/way/403695355	osmplace	891fad04937ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
25	located_on_h3_cell	https://www.openstreetmap.org/way/243034473	osmplace	891fad22d53ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
26	hasOSMTag	quarry	osmtag	891fad30013ffff	h3place	False	1.0		Environment_NEG_geological around (Erfurt) radius=15.0
27	located_on_h3_cell	891fad06b8fffff	h3place	https://www.openstreetmap.org/way/958239078	osmplace	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
28	located_on_h3_cell	https://www.openstreetmap.org/way/182535675	osmplace	891fad3a5dbffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
29	located_on_h3_cell	https://www.openstreetmap.org/way/340019829	osmplace	891fad31697ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
30	located_on_h3_cell	https://www.openstreetmap.org/way/257267940	osmplace	891fad23587ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
31	located_on_h3_cell	https://www.openstreetmap.org/way/483078817	osmplace	891fad31b0fffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
32	located_on_h3_cell	891fad04bafffff	h3place	https://www.openstreetmap.org/way/251365025	osmplace	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
33	located_on_h3_cell	891fad3addbffff	h3place	https://www.openstreetmap.org/node/322605181	osmplace	False		6.0	Lifestyle_NEG_shop around (Erfurt) radius=15.0
34	located_on_h3_cell	https://www.openstreetmap.org/way/292509734	osmplace	891fad3329bffff	h3place	False		6.0	Lifestyle_NEG_shop around (Erfurt) radius=15.0
35	located_on_h3_cell	https://www.openstreetmap.org/way/242821240	osmplace	891fad05b53ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
36	located_on_h3_cell	https://www.openstreetmap.org/way/296137487	osmplace	891fad3a607ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
37	located_on_h3_cell	https://www.openstreetmap.org/way/236832365	osmplace	891fad31a97ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
38	located_on_h3_cell	https://www.openstreetmap.org/way/133606693	osmplace	891fad31563ffff	h3place	False		6.0	Services_NEG_amenity around (Erfurt) radius=15.0
39	located_on_h3_cell	https://www.openstreetmap.org/way/340019825	osmplace	891fad3144bffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
40	located_on_h3_cell	https://www.openstreetmap.org/way/298559627	osmplace	891fad31ab3ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
41	located_on_h3_cell	https://www.openstreetmap.org/way/230040099	osmplace	891fad20c97ffff	h3place	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
42	hasOSMTag	891fad31ab3ffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Erfurt) radius=15.0
43	located_on_h3_cell	https://www.openstreetmap.org/way/343420286	osmplace	891fad31b13ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
44	located_on_h3_cell	https://www.openstreetmap.org/way/360937289	osmplace	891fad20577ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
45	located_on_h3_cell	891fad3a5dbffff	h3place	https://www.openstreetmap.org/node/1928984415	osmplace	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
46	located_on_h3_cell	https://www.openstreetmap.org/way/312547120	osmplace	891fad33667ffff	h3place	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
47	located_on_h3_cell	https://www.openstreetmap.org/way/271765857	osmplace	891fad31133ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
48	located_on_h3_cell	891fad3335bffff	h3place	https://www.openstreetmap.org/way/225902702	osmplace	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
49	hasOSMTag	military	osmtag	891fad2008fffff	h3place	False	1.0		Environment_NEG_geological around (Erfurt) radius=15.0
50	located_on_h3_cell	https://www.openstreetmap.org/way/483078812	osmplace	891fad2205bffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
51	located_on_h3_cell	https://www.openstreetmap.org/way/27740577	osmplace	891fad316bbffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
52	located_on_h3_cell	https://www.openstreetmap.org/node/8520143664	osmplace	891fad312b7ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Erfurt) radius=15.0
53	located_on_h3_cell	891fad22e63ffff	h3place	https://www.openstreetmap.org/node/2704338479	osmplace	False		6.0	Lifestyle_NEG_shop around (Erfurt) radius=15.0
54	located_on_h3_cell	https://www.openstreetmap.org/way/343420291	osmplace	891fad31a93ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
55	located_on_h3_cell	https://www.openstreetmap.org/way/346365348	osmplace	891fad213bbffff	h3place	False		6.0	Lifestyle_NEG_shop around (Erfurt) radius=15.0
56	located_on_h3_cell	https://www.openstreetmap.org/way/242821231	osmplace	891fad05b23ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
57	hasOSMTag	891fada994fffff	h3place	quarry	osmtag	False	1.0		Environment_NEG_geological around (Erfurt) radius=15.0
58	located_on_h3_cell	https://www.openstreetmap.org/way/947818190	osmplace	891fad3a5dbffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
59	located_on_h3_cell	https://www.openstreetmap.org/way/242805662	osmplace	891fad3a6abffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
60	hasOSMTag	quarry	osmtag	891fada994fffff	h3place	False	1.0		Environment_NEG_geological around (Erfurt) radius=15.0
61	located_on_h3_cell	https://www.openstreetmap.org/way/806178620	osmplace	891fad3140bffff	h3place	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
62	located_on_h3_cell	https://www.openstreetmap.org/way/258135820	osmplace	891fad33243ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
63	located_on_h3_cell	https://www.openstreetmap.org/way/258135775	osmplace	891fad04d27ffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
64	hasOSMTag	891fad05bdbffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Erfurt) radius=15.0
65	located_on_h3_cell	https://www.openstreetmap.org/node/322605181	osmplace	891fad3addbffff	h3place	False		6.0	Lifestyle_NEG_shop around (Erfurt) radius=15.0
66	located_on_h3_cell	https://www.openstreetmap.org/way/854944020	osmplace	891fad3025bffff	h3place	False		6.0	Transport_NEG_aeroway around (Erfurt) radius=15.0
67	located_on_h3_cell	891fad315a3ffff	h3place	https://www.openstreetmap.org/way/507108000	osmplace	False		6.0	Environment_NEG_geological around (Erfurt) radius=15.0
