index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891fad3025bffff	h3place				11.0633	51.01169	9.0		51.0116896660295	11.063295868288652
1	891fad22dc3ffff	h3place				11.29289	50.98488	9.0		50.984876059486524	11.292893411572928
2	891fad316abffff	h3place				11.00085	50.99652	9.0		50.99652083760731	11.000848140972504
3	891fad38bc3ffff	h3place				11.07976	50.87958	9.0		50.87958382451272	11.07975672964643
4	891fad20533ffff	h3place				11.25031	50.94372	9.0		50.943718194686475	11.25031018361194
5	891fad33663ffff	h3place				10.97431	51.0371	9.0		51.03709705979027	10.974313596584983
6	891fad3143bffff	h3place				11.01661	51.01039	9.0		51.01039099911103	11.016610568340612
7	891fad04d97ffff	h3place				10.95477	51.03549	9.0		51.03548744945437	10.95476974143785
8	891fad3a48fffff	h3place				10.94386	50.97673	9.0		50.976734542779404	10.943864639029044
9	891fad3b1c7ffff	h3place				10.92539	50.91983	9.0		50.91982541298259	10.92539402841082
10	891fad31133ffff	h3place				11.07195	50.99982	9.0		50.999816200299016	11.071950254198677
11	891fad332a7ffff	h3place				11.00417	51.03452	9.0		51.03452060755007	11.00416869804505
12	891fad04b7bffff	h3place				10.95797	50.98293	9.0		50.982930819362124	10.957971817097182
13	891fad3a40bffff	h3place				10.94223	50.96905	9.0		50.9690500943344	10.94223143213621
14	891fad311abffff	h3place				11.06924	51.00211	9.0		51.00211155530139	11.069242298362335
15	891fad31acfffff	h3place				11.09031	50.96608	9.0		50.966077794397336	11.090307077001166
16	891fad3129bffff	h3place				11.00463	50.98425	9.0		50.984250356249	11.00462543032487
17	891fad3324fffff	h3place				10.98352	51.02025	9.0		51.02025165660095	10.983518709594403
18	891fad35363ffff	h3place				11.28968	50.99217	9.0		50.99217100039495	11.289676541027708
19	891fad22073ffff	h3place				11.20321	50.97016	9.0		50.97016181160908	11.203212427859357
20	891fad22077ffff	h3place				11.2081	50.97055	9.0		50.970554032689485	11.208100324498862
21	891fad322cfffff	h3place				11.04497	51.06803	9.0		51.06802626568195	11.044968049772041
22	891fad049a3ffff	h3place				10.98405	51.01527	9.0		51.015265625043114	10.984054395187957
23	891fad22eb7ffff	h3place				11.26728	50.97025	9.0		50.97025157655964	11.267283155293407
24	891fad3a5d3ffff	h3place				10.96339	50.97834	9.0		50.97834473207465	10.963390762852574
25	891fad313c3ffff	h3place				11.03446	50.98166	9.0		50.98166055745287	11.03446070044196
26	891fad3100bffff	h3place				11.0258	50.99353	9.0		50.99353370192427	11.025803603671688
27	891fad3a5dbffff	h3place				10.96122	50.97565	9.0		50.975649310584856	10.961218327982264
28	891fad312b7ffff	h3place				11.02416	50.98585	9.0		50.985850784402416	11.024160344782686
29	891fad2053bffff	h3place				11.24812	50.94103	9.0		50.94102524265725	11.248124968314885
30	891fad3128bffff	h3place				11.00733	50.98196	9.0		50.981956129707285	11.007334049788218
31	891fad22eb3ffff	h3place				11.26239	50.96986	9.0		50.96986177682179	11.262393687814491
32	891fad23187ffff	h3place				11.17379	50.94514	9.0		50.94513718293275	11.173794442517138
33	891fad31a97ffff	h3place				11.09902	50.97685	9.0		50.976853551968055	11.099021749549616
34	891fad05b33ffff	h3place				10.90481	50.95085	9.0		50.95085278613888	10.904813968574906
