index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	891fad220d7ffff	h3place	https://www.openstreetmap.org/way/923688241	osmplace	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
1	hasOSMTag	multi	osmtag	891fad31093ffff	h3place	False	1.0		Leisure_POS_amenity around (Erfurt) radius=15.0
2	hasOSMTag	multi	osmtag	891fad3131bffff	h3place	False	1.0		Leisure_POS_amenity around (Erfurt) radius=15.0
3	hasOSMTag	multi	osmtag	891fad3b117ffff	h3place	False	1.0		Leisure_POS_amenity around (Erfurt) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/520932799	osmplace	891fad3134bffff	h3place	False		6.0	Services_POS_amenity around (Erfurt) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/relation/5417705	osmplace	891fad31223ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
6	located_on_h3_cell	https://www.openstreetmap.org/way/694477341	osmplace	891fad313cbffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/317857413	osmplace	891fad3322bffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
8	located_on_h3_cell	891fad3ac1bffff	h3place	https://www.openstreetmap.org/node/1065920375	osmplace	False		6.0	Services_POS_amenity around (Erfurt) radius=15.0
9	located_on_h3_cell	https://www.openstreetmap.org/way/542774593	osmplace	891fad3130fffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/168118851	osmplace	891fad3a1afffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
11	located_on_h3_cell	https://www.openstreetmap.org/way/331914484	osmplace	891fad356b7ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
12	located_on_h3_cell	https://www.openstreetmap.org/way/625511084	osmplace	891fad356a3ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
13	located_on_h3_cell	891fad313c3ffff	h3place	https://www.openstreetmap.org/way/404966593	osmplace	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/703020792	osmplace	891fad31593ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
15	located_on_h3_cell	https://www.openstreetmap.org/way/558564600	osmplace	891fad31347ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
16	located_on_h3_cell	891fad313c3ffff	h3place	https://www.openstreetmap.org/way/370023497	osmplace	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
17	located_on_h3_cell	https://www.openstreetmap.org/way/701089044	osmplace	891fad3152fffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
18	located_on_h3_cell	https://www.openstreetmap.org/way/217417598	osmplace	891fad3ac93ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/way/589808712	osmplace	891fad23357ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
20	located_on_h3_cell	https://www.openstreetmap.org/node/2953921285	osmplace	891fad313cbffff	h3place	False		6.0	Lifestyle_POS_amenity around (Erfurt) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/node/8683009025	osmplace	891fad31003ffff	h3place	False		6.0	Lifestyle_POS_amenity around (Erfurt) radius=15.0
22	located_on_h3_cell	https://www.openstreetmap.org/node/329966807	osmplace	891fad3a30fffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
23	located_on_h3_cell	https://www.openstreetmap.org/way/527692010	osmplace	891fad3162fffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
24	hasOSMTag	multi	osmtag	891fad33263ffff	h3place	False	1.0		Leisure_POS_amenity around (Erfurt) radius=15.0
25	located_on_h3_cell	https://www.openstreetmap.org/node/419344219	osmplace	891fad06d7bffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
26	located_on_h3_cell	https://www.openstreetmap.org/way/310349545	osmplace	891fad319d7ffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
27	located_on_h3_cell	https://www.openstreetmap.org/way/756461887	osmplace	891fad313c7ffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
28	located_on_h3_cell	https://www.openstreetmap.org/way/575955174	osmplace	891fad2a5dbffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
29	hasOSMTag	891fad31333ffff	h3place	stop_position	osmtag	False	1.0		Transport_POS_amenity around (Erfurt) radius=15.0
30	located_on_h3_cell	https://www.openstreetmap.org/way/415462783	osmplace	891fad313cfffff	h3place	False		6.0	Services_POS_amenity around (Erfurt) radius=15.0
31	located_on_h3_cell	https://www.openstreetmap.org/node/5602277395	osmplace	891fad3137bffff	h3place	False		6.0	Services_POS_amenity around (Erfurt) radius=15.0
32	located_on_h3_cell	https://www.openstreetmap.org/node/3131395072	osmplace	891fad3ac8bffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
33	located_on_h3_cell	891fad3a1b7ffff	h3place	https://www.openstreetmap.org/way/744843079	osmplace	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
34	located_on_h3_cell	https://www.openstreetmap.org/way/342682416	osmplace	891fad3ac0bffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
35	located_on_h3_cell	https://www.openstreetmap.org/way/307950415	osmplace	891fad2114bffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
36	located_on_h3_cell	https://www.openstreetmap.org/relation/8124596	osmplace	891fad38a57ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
37	located_on_h3_cell	https://www.openstreetmap.org/way/197345242	osmplace	891fad316afffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
38	located_on_h3_cell	https://www.openstreetmap.org/node/3131395075	osmplace	891fad3122bffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
39	located_on_h3_cell	https://www.openstreetmap.org/way/372886120	osmplace	891fad313d3ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
40	located_on_h3_cell	https://www.openstreetmap.org/way/703020461	osmplace	891fad31597ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
41	located_on_h3_cell	https://www.openstreetmap.org/way/756487286	osmplace	891fad31393ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
42	located_on_h3_cell	https://www.openstreetmap.org/way/703020463	osmplace	891fad31597ffff	h3place	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
43	located_on_h3_cell	891fad313cbffff	h3place	https://www.openstreetmap.org/way/390150730	osmplace	False		6.0	Leisure_POS_amenity around (Erfurt) radius=15.0
44	hasOSMTag	beachvolleyball	osmtag	891fad32117ffff	h3place	False	1.0		Leisure_POS_amenity around (Erfurt) radius=15.0
45	located_on_h3_cell	https://www.openstreetmap.org/node/419344217	osmplace	891fad06d7bffff	h3place	False		6.0	Transport_POS_amenity around (Erfurt) radius=15.0
